purchase_date,flight_date,day_of_week,origin,destination,airline,days_to_flight,departure_time,class,stops,ticket_price
2024-07-30,2024-08-26,Monday,AYT,ADB,AnadoluJet,27,02:30,Economy,0,980
2024-09-09,2024-10-18,Friday,ANK,AYT,SunExpress,39,10:15,Economy,0,929
2024-04-21,2024-05-12,Sunday,ANK,ADB,AnadoluJet,21,08:00,Business,0,2227
2024-03-18,2024-05-03,Friday,ANK,IST,SunExpress,46,22:45,Economy,0,935
2024-06-28,2024-08-17,Saturday,ESB,ADB,Turkish Airlines,50,22:15,Economy,0,828
2024-06-07,2024-07-07,Sunday,ESB,AYT,AnadoluJet,30,10:30,Economy,0,1029
2024-05-20,2024-06-05,Wednesday,ADB,IZM,Pegasus,16,03:15,Economy,0,969
2024-04-05,2024-05-21,Tuesday,ANK,AYT,AnadoluJet,46,09:15,Business,1,1912
2023-11-24,2024-01-08,Monday,ANK,ADB,Pegasus,45,17:30,Economy,1,803
2023-12-29,2024-02-22,Thursday,ANK,AYT,Turkish Airlines,55,14:30,Economy,0,772
2024-08-25,2024-09-01,Sunday,IST,ADB,Turkish Airlines,7,20:00,Economy,0,1003
2024-05-30,2024-06-04,Tuesday,ANK,ESB,Pegasus,5,19:15,Economy,0,1173
2024-06-21,2024-08-18,Sunday,AYT,ADB,SunExpress,58,13:30,Economy,0,855
2024-09-22,2024-11-08,Friday,AYT,IST,Turkish Airlines,47,06:30,Business,0,2134
2024-04-21,2024-05-02,Thursday,IST,IZM,Turkish Airlines,11,22:45,Economy,0,1019
2024-04-12,2024-05-27,Monday,IST,IZM,AnadoluJet,45,21:15,Economy,0,842
2024-10-14,2024-12-04,Wednesday,ESB,AYT,Pegasus,51,20:15,Economy,0,813
2024-01-21,2024-01-31,Wednesday,ANK,IST,AnadoluJet,10,09:45,Economy,1,831
2024-11-29,2024-12-24,Tuesday,ADB,IZM,AnadoluJet,25,02:00,Economy,0,985
2024-10-20,2024-11-05,Tuesday,ESB,IZM,Turkish Airlines,16,18:00,Economy,1,965
2024-10-20,2024-10-22,Tuesday,ESB,IZM,Pegasus,2,08:15,Economy,0,1139
2024-01-17,2024-02-16,Friday,ADB,AYT,AnadoluJet,30,03:15,Economy,0,934
2024-04-15,2024-05-27,Monday,ADB,AYT,SunExpress,42,14:00,Economy,0,870
2024-01-11,2024-02-29,Thursday,IZM,ADB,SunExpress,49,00:45,Business,1,1910
2024-08-30,2024-09-22,Sunday,IST,IZM,SunExpress,23,06:30,Economy,0,1025
2024-06-17,2024-08-12,Monday,ANK,ADB,SunExpress,56,19:15,Economy,1,751
2024-10-09,2024-10-09,Wednesday,ANK,ADB,SunExpress,0,03:45,Economy,1,880
2024-07-15,2024-09-12,Thursday,ESB,ANK,AnadoluJet,59,15:45,Economy,0,767
2024-02-20,2024-03-15,Friday,ADB,ESB,Pegasus,24,04:00,Business,0,2150
2024-08-30,2024-09-16,Monday,ADB,IZM,Turkish Airlines,17,18:45,Economy,0,953
2024-08-13,2024-09-04,Wednesday,ADB,ESB,AnadoluJet,22,14:30,Economy,0,938
2024-09-25,2024-10-19,Saturday,ESB,ANK,Pegasus,24,10:45,Business,0,2260
2024-10-16,2024-12-05,Thursday,ADB,AYT,Pegasus,50,16:30,Economy,0,775
2024-07-30,2024-09-26,Thursday,ADB,IST,SunExpress,58,20:15,Economy,0,729
2024-05-14,2024-06-22,Saturday,ADB,IZM,SunExpress,39,21:45,Economy,1,736
2024-10-02,2024-10-04,Friday,ESB,ADB,Turkish Airlines,2,09:15,Economy,0,1181
2024-01-03,2024-02-20,Tuesday,IST,AYT,Turkish Airlines,48,00:00,Economy,0,843
2024-06-09,2024-07-02,Tuesday,IST,ADB,SunExpress,23,18:15,Economy,0,928
2024-09-14,2024-11-08,Friday,ANK,IST,SunExpress,55,18:15,Economy,0,784
2024-08-07,2024-08-23,Friday,ADB,IZM,Turkish Airlines,16,09:15,Business,0,2138
2024-10-08,2024-10-27,Sunday,ADB,IZM,SunExpress,19,09:15,Economy,0,1003
2024-04-07,2024-05-01,Wednesday,ADB,IST,AnadoluJet,24,09:00,Economy,1,898
2023-11-30,2024-01-05,Friday,ADB,IZM,Turkish Airlines,36,09:15,Business,0,2175
2024-11-09,2024-11-21,Thursday,IZM,ANK,AnadoluJet,12,21:15,Economy,0,1100
2024-04-18,2024-06-07,Friday,IST,ANK,SunExpress,50,04:00,Economy,0,825
2024-03-18,2024-03-30,Saturday,IZM,AYT,Pegasus,12,11:30,Economy,1,832
2024-04-14,2024-05-31,Friday,IZM,AYT,AnadoluJet,47,02:15,Economy,0,958
2024-09-19,2024-10-12,Saturday,ANK,AYT,Turkish Airlines,23,17:00,Economy,0,1001
2024-10-02,2024-10-26,Saturday,IZM,ADB,AnadoluJet,24,00:30,Economy,0,1036
2024-09-30,2024-11-21,Thursday,ANK,IST,SunExpress,52,13:00,Business,0,1975
2024-05-04,2024-06-04,Tuesday,IST,ANK,Turkish Airlines,31,04:45,Economy,1,811
2024-06-26,2024-08-02,Friday,IZM,ESB,Pegasus,37,15:45,Business,0,2086
2024-03-24,2024-04-21,Sunday,IST,ADB,SunExpress,28,03:30,Business,1,2049
2024-01-07,2024-02-01,Thursday,ESB,IZM,AnadoluJet,25,14:00,Economy,0,1044
2024-01-08,2024-01-11,Thursday,ANK,ESB,AnadoluJet,3,18:15,Economy,0,1002
2024-10-14,2024-10-27,Sunday,AYT,ANK,Pegasus,13,19:00,Economy,0,1005
2024-09-17,2024-10-03,Thursday,ANK,IZM,Pegasus,16,04:00,Economy,1,861
2024-06-13,2024-06-14,Friday,ANK,ESB,Pegasus,1,13:00,Economy,0,1185
2024-06-29,2024-08-17,Saturday,IST,AYT,AnadoluJet,49,16:15,Economy,0,912
2024-05-05,2024-06-03,Monday,IST,ESB,Turkish Airlines,29,12:45,Economy,0,1030
2024-11-02,2024-12-30,Monday,IST,AYT,SunExpress,58,19:15,Economy,0,726
2024-10-06,2024-11-15,Friday,ANK,ADB,AnadoluJet,40,09:45,Economy,0,929
2024-01-01,2024-02-20,Tuesday,AYT,ADB,Turkish Airlines,50,17:15,Business,0,2060
2024-07-09,2024-07-30,Tuesday,ADB,ANK,SunExpress,21,10:45,Economy,0,975
2024-07-01,2024-07-10,Wednesday,ESB,IZM,SunExpress,9,02:45,Economy,1,829
2024-02-01,2024-03-07,Thursday,ESB,IZM,Turkish Airlines,35,10:00,Economy,0,930
2024-01-09,2024-01-27,Saturday,IZM,AYT,AnadoluJet,18,06:15,Economy,0,1078
2024-02-03,2024-02-25,Sunday,ADB,ANK,AnadoluJet,22,07:45,Economy,0,1033
2024-10-31,2024-12-11,Wednesday,AYT,ESB,Turkish Airlines,41,22:30,Economy,0,802
2024-11-07,2024-12-25,Wednesday,ANK,ADB,AnadoluJet,48,05:15,Business,0,2104
2024-01-27,2024-02-05,Monday,ESB,ADB,Turkish Airlines,9,12:45,Economy,0,1071
2024-06-19,2024-07-08,Monday,IZM,ANK,AnadoluJet,19,02:00,Economy,0,944
2023-12-14,2024-01-26,Friday,ANK,ESB,Turkish Airlines,43,15:45,Economy,0,891
2024-09-12,2024-09-19,Thursday,IZM,ANK,AnadoluJet,7,21:45,Economy,0,1099
2024-01-10,2024-01-24,Wednesday,ESB,IZM,SunExpress,14,06:30,Business,0,2184
2024-05-08,2024-05-28,Tuesday,ANK,ADB,Turkish Airlines,20,05:15,Economy,0,997
2024-08-09,2024-09-13,Friday,AYT,ANK,AnadoluJet,35,01:45,Economy,1,679
2024-05-04,2024-06-09,Sunday,ADB,IST,SunExpress,36,13:30,Economy,0,849
2024-06-05,2024-06-15,Saturday,ADB,IST,SunExpress,10,02:45,Economy,1,827
2024-10-03,2024-10-28,Monday,ANK,AYT,Turkish Airlines,25,10:15,Economy,0,960
2024-08-09,2024-09-18,Wednesday,ANK,IST,Turkish Airlines,40,11:30,Economy,0,986
2024-04-24,2024-04-30,Tuesday,ESB,ANK,Pegasus,6,04:00,Economy,0,1015
2024-07-08,2024-08-25,Sunday,ESB,ADB,SunExpress,48,20:30,Economy,1,770
2024-08-09,2024-08-13,Tuesday,IZM,ANK,SunExpress,4,08:00,Economy,0,1070
2024-05-09,2024-06-07,Friday,AYT,IST,SunExpress,29,09:00,Economy,0,1020
2024-09-29,2024-10-31,Thursday,IST,ESB,SunExpress,32,23:00,Economy,0,955
2024-05-06,2024-06-13,Thursday,AYT,ANK,SunExpress,38,14:00,Economy,1,747
2024-08-05,2024-09-15,Sunday,ESB,IST,Pegasus,41,14:15,Economy,0,888
2024-06-21,2024-07-17,Wednesday,IZM,ADB,AnadoluJet,26,20:30,Economy,0,886
2024-08-30,2024-10-12,Saturday,IZM,IST,SunExpress,43,21:15,Economy,0,870
2024-11-26,2024-12-05,Thursday,IST,ESB,AnadoluJet,9,21:45,Economy,0,988
2024-05-03,2024-06-07,Friday,AYT,IST,SunExpress,35,04:00,Economy,0,990
2024-08-25,2024-09-17,Tuesday,ESB,ADB,Turkish Airlines,23,06:30,Economy,0,1081
2024-04-17,2024-04-25,Thursday,ADB,ANK,Pegasus,8,03:00,Economy,1,979
2024-01-30,2024-03-08,Friday,IZM,ESB,SunExpress,38,22:15,Economy,0,994
2024-07-06,2024-07-29,Monday,ADB,IST,Pegasus,23,23:45,Business,0,2144
2024-04-17,2024-06-07,Friday,AYT,ANK,SunExpress,51,21:45,Business,0,2063
2024-08-12,2024-09-14,Saturday,IZM,AYT,SunExpress,33,19:15,Business,1,1949
2024-06-04,2024-07-09,Tuesday,IST,AYT,Turkish Airlines,35,03:30,Economy,0,846
2024-06-22,2024-08-18,Sunday,ANK,ADB,Pegasus,57,07:45,Economy,0,804
2024-01-03,2024-01-28,Sunday,IST,AYT,AnadoluJet,25,11:15,Economy,1,732
2024-11-20,2024-12-31,Tuesday,IZM,IST,AnadoluJet,41,09:45,Economy,0,973
2024-07-09,2024-08-17,Saturday,ANK,AYT,Turkish Airlines,39,06:15,Business,0,2145
2024-08-31,2024-09-27,Friday,ESB,AYT,Turkish Airlines,27,03:00,Economy,0,926
2024-08-18,2024-08-22,Thursday,ADB,ESB,Turkish Airlines,4,17:00,Economy,0,1141
2024-03-19,2024-05-03,Friday,AYT,ESB,Pegasus,45,11:15,Economy,0,921
2024-10-25,2024-12-06,Friday,ADB,ANK,Turkish Airlines,42,16:00,Economy,0,889
2024-10-28,2024-11-21,Thursday,ADB,IST,AnadoluJet,24,02:30,Economy,0,941
2024-09-07,2024-10-24,Thursday,ESB,IST,AnadoluJet,47,10:15,Economy,0,964
2024-11-22,2024-12-22,Sunday,ESB,ADB,Pegasus,30,14:00,Economy,0,925
2024-02-16,2024-04-12,Friday,ANK,IST,Turkish Airlines,56,12:45,Economy,0,784
2024-05-04,2024-05-26,Sunday,IST,IZM,Turkish Airlines,22,03:30,Business,0,2201
2024-06-25,2024-07-16,Tuesday,ADB,AYT,Pegasus,21,16:30,Economy,0,916
2024-01-14,2024-02-10,Saturday,ESB,ADB,Pegasus,27,02:30,Economy,0,1034
2024-07-09,2024-08-16,Friday,IZM,ADB,SunExpress,38,14:00,Economy,0,996
2024-07-24,2024-08-10,Saturday,IZM,ESB,Turkish Airlines,17,11:15,Economy,0,922
2024-10-24,2024-12-13,Friday,ANK,ESB,SunExpress,50,20:30,Economy,0,842
2023-12-10,2024-01-17,Wednesday,ADB,ESB,Pegasus,38,11:45,Economy,1,855
2024-02-07,2024-03-11,Monday,IST,ESB,AnadoluJet,33,07:00,Economy,0,841
2024-08-10,2024-09-12,Thursday,ESB,ANK,SunExpress,33,08:45,Business,0,2089
2024-10-24,2024-12-21,Saturday,AYT,IZM,SunExpress,58,02:45,Economy,0,754
2023-12-25,2024-02-14,Wednesday,ESB,ADB,AnadoluJet,51,17:30,Economy,0,821
2024-06-02,2024-07-04,Thursday,ANK,IZM,Pegasus,32,04:15,Economy,0,966
2024-09-04,2024-10-10,Thursday,IST,ADB,AnadoluJet,36,04:00,Economy,1,686
2024-07-31,2024-09-02,Monday,IZM,AYT,SunExpress,33,02:15,Economy,1,766
2024-07-20,2024-08-18,Sunday,ESB,IST,AnadoluJet,29,17:15,Economy,1,901
2024-07-18,2024-09-14,Saturday,ANK,AYT,Turkish Airlines,58,09:15,Economy,0,751
2024-04-27,2024-06-26,Wednesday,IZM,ANK,AnadoluJet,60,20:30,Economy,0,732
2024-10-07,2024-11-10,Sunday,ESB,IZM,Turkish Airlines,34,18:15,Economy,0,873
2024-10-15,2024-11-05,Tuesday,ESB,AYT,Turkish Airlines,21,01:30,Economy,0,1061
2024-06-23,2024-08-01,Thursday,ANK,ESB,Turkish Airlines,39,09:30,Economy,0,928
2024-05-03,2024-06-01,Saturday,ANK,AYT,Turkish Airlines,29,13:45,Economy,0,973
2024-10-28,2024-11-06,Wednesday,ANK,ADB,AnadoluJet,9,11:45,Business,0,2188
2024-10-08,2024-10-14,Monday,IZM,ESB,AnadoluJet,6,14:15,Economy,0,1006
2024-03-29,2024-05-28,Tuesday,IST,ANK,SunExpress,60,05:30,Business,0,2047
2024-02-19,2024-04-07,Sunday,ESB,IZM,Pegasus,48,15:30,Economy,0,887
2024-06-18,2024-07-20,Saturday,IST,ANK,SunExpress,32,11:00,Business,0,2052
2024-09-06,2024-11-01,Friday,IZM,AYT,SunExpress,56,03:45,Economy,0,754
2024-07-02,2024-07-25,Thursday,IZM,ADB,Turkish Airlines,23,06:30,Economy,0,1026
2024-06-14,2024-07-16,Tuesday,IZM,IST,SunExpress,32,19:00,Economy,0,872
2024-05-21,2024-07-10,Wednesday,IST,AYT,AnadoluJet,50,04:15,Economy,0,904
2024-09-11,2024-09-13,Friday,AYT,ADB,Turkish Airlines,2,15:45,Economy,0,1028
2024-02-21,2024-03-12,Tuesday,AYT,ESB,AnadoluJet,20,23:30,Economy,1,901
2024-08-14,2024-09-17,Tuesday,IZM,ESB,SunExpress,34,00:30,Economy,0,914
2024-06-25,2024-08-01,Thursday,ESB,IST,AnadoluJet,37,22:00,Economy,0,967
2024-10-12,2024-12-01,Sunday,ADB,IZM,Pegasus,50,05:45,Economy,0,787
2023-12-12,2024-01-17,Wednesday,ESB,ANK,Turkish Airlines,36,13:15,Economy,0,925
2024-06-27,2024-07-29,Monday,ESB,ANK,SunExpress,32,01:15,Business,0,2172
2024-05-04,2024-06-15,Saturday,ANK,ESB,SunExpress,42,05:45,Economy,0,926
2024-05-18,2024-06-30,Sunday,IZM,ESB,AnadoluJet,43,07:30,Economy,0,927
2024-04-13,2024-06-01,Saturday,IZM,ANK,AnadoluJet,49,15:30,Economy,0,877
2024-05-02,2024-05-20,Monday,IZM,ESB,Turkish Airlines,18,12:30,Economy,0,1107
2024-01-04,2024-01-22,Monday,ANK,ADB,Turkish Airlines,18,08:45,Economy,0,964
2024-03-20,2024-05-18,Saturday,ANK,ESB,AnadoluJet,59,18:15,Economy,0,767
2024-03-16,2024-04-25,Thursday,IST,ESB,Pegasus,40,22:45,Economy,0,825
2023-11-29,2024-01-03,Wednesday,ESB,ANK,Pegasus,35,15:45,Economy,1,841
2024-05-26,2024-06-13,Thursday,ANK,ADB,Turkish Airlines,18,18:15,Business,0,2246
2024-03-04,2024-03-30,Saturday,ESB,IST,Pegasus,26,12:45,Business,0,2117
2024-01-20,2024-01-20,Saturday,ESB,IZM,AnadoluJet,0,10:30,Economy,0,1116
2024-08-25,2024-09-25,Wednesday,ESB,AYT,Pegasus,31,06:00,Business,0,2129
2024-11-11,2024-11-27,Wednesday,ANK,AYT,Pegasus,16,09:15,Economy,0,964
2024-07-05,2024-08-06,Tuesday,AYT,ADB,AnadoluJet,32,05:15,Economy,0,962
2023-12-19,2024-01-04,Thursday,IZM,ANK,SunExpress,16,10:30,Economy,0,1069
2023-12-21,2024-01-06,Saturday,ESB,AYT,AnadoluJet,16,03:45,Economy,0,998
2024-11-15,2024-12-17,Tuesday,ANK,AYT,AnadoluJet,32,09:30,Economy,0,997
2024-02-08,2024-03-09,Saturday,ANK,IZM,Pegasus,30,11:45,Economy,1,879
2024-08-12,2024-10-02,Wednesday,AYT,ADB,Pegasus,51,19:00,Economy,0,879
2024-12-03,2024-12-26,Thursday,ADB,ESB,Turkish Airlines,23,17:15,Business,0,2231
2024-03-05,2024-03-25,Monday,AYT,ANK,SunExpress,20,18:45,Economy,0,923
2023-12-31,2024-01-29,Monday,AYT,ADB,Pegasus,29,01:45,Economy,0,1027
2024-07-05,2024-07-21,Sunday,IZM,IST,Turkish Airlines,16,01:45,Economy,0,1008
2024-10-01,2024-10-04,Friday,ESB,IST,Turkish Airlines,3,09:45,Business,0,2231
2024-05-14,2024-07-10,Wednesday,ANK,AYT,SunExpress,57,12:45,Economy,1,585
2024-01-28,2024-03-09,Saturday,ESB,AYT,AnadoluJet,41,12:15,Economy,1,831
2023-12-24,2024-01-12,Friday,ANK,IST,SunExpress,19,17:45,Economy,0,963
2024-06-17,2024-06-26,Wednesday,ANK,AYT,AnadoluJet,9,03:00,Economy,1,974
2023-12-25,2024-01-09,Tuesday,ADB,ESB,Pegasus,15,14:00,Economy,0,987
2024-06-26,2024-07-24,Wednesday,ESB,IST,Pegasus,28,01:15,Economy,0,988
2024-10-01,2024-10-21,Monday,IZM,ANK,AnadoluJet,20,21:15,Economy,1,855
2023-12-28,2024-02-01,Thursday,IZM,ADB,Pegasus,35,15:00,Economy,0,913
2024-09-05,2024-09-25,Wednesday,ESB,ADB,SunExpress,20,05:45,Economy,0,961
2024-12-19,2024-12-28,Saturday,ANK,ADB,SunExpress,9,13:15,Business,0,2254
2024-03-24,2024-04-14,Sunday,ANK,ADB,Turkish Airlines,21,02:15,Business,1,1958
2024-11-02,2024-12-10,Tuesday,IZM,AYT,Turkish Airlines,38,18:15,Business,0,2132
2024-04-07,2024-06-04,Tuesday,ANK,ADB,Turkish Airlines,58,23:00,Economy,0,901
2024-11-14,2024-12-22,Sunday,ADB,ANK,Pegasus,38,10:30,Economy,0,907
2024-11-06,2024-11-28,Thursday,ADB,ESB,AnadoluJet,22,15:45,Economy,0,915
2024-04-15,2024-06-12,Wednesday,ESB,ADB,Pegasus,58,18:15,Economy,0,899
2024-04-08,2024-05-13,Monday,ANK,IST,SunExpress,35,07:45,Economy,0,970
2024-08-28,2024-10-08,Tuesday,ANK,AYT,AnadoluJet,41,23:45,Economy,1,762
2024-03-19,2024-03-27,Wednesday,ANK,ADB,SunExpress,8,20:00,Economy,1,944
2024-12-05,2024-12-08,Sunday,IST,ANK,Turkish Airlines,3,07:00,Economy,1,1016
2024-03-20,2024-04-21,Sunday,ANK,IST,SunExpress,32,21:45,Economy,0,1008
2023-12-01,2024-01-04,Thursday,ADB,IST,SunExpress,34,08:30,Economy,0,834
2024-03-26,2024-04-01,Monday,AYT,ADB,Turkish Airlines,6,19:30,Economy,0,1060
2024-01-18,2024-02-10,Saturday,IZM,AYT,SunExpress,23,22:15,Economy,0,961
2024-10-07,2024-11-30,Saturday,ESB,IST,Turkish Airlines,54,17:45,Economy,0,744
2024-12-15,2024-12-25,Wednesday,ESB,IST,Turkish Airlines,10,10:00,Economy,0,1085
2024-02-21,2024-04-18,Thursday,IST,IZM,SunExpress,57,21:30,Economy,1,704
2024-02-02,2024-04-01,Monday,AYT,IST,AnadoluJet,59,04:45,Economy,0,724
2024-09-30,2024-10-15,Tuesday,IZM,ANK,SunExpress,15,12:15,Economy,0,1101
2024-07-28,2024-09-13,Friday,ESB,IST,AnadoluJet,47,02:30,Economy,0,919
2024-06-03,2024-07-22,Monday,AYT,ESB,AnadoluJet,49,14:45,Economy,0,813
2024-06-14,2024-07-11,Thursday,IZM,ESB,Pegasus,27,02:30,Economy,0,928
2024-01-26,2024-02-12,Monday,ESB,IST,Pegasus,17,04:45,Economy,0,996
2024-02-16,2024-02-16,Friday,IZM,IST,AnadoluJet,0,03:15,Economy,0,1022
2024-07-13,2024-08-17,Saturday,ANK,AYT,SunExpress,35,17:00,Economy,0,977
2024-07-16,2024-07-16,Tuesday,AYT,IZM,AnadoluJet,0,23:15,Economy,0,1146
2024-11-22,2024-12-16,Monday,AYT,ANK,Pegasus,24,15:15,Economy,0,896
2024-04-25,2024-05-21,Tuesday,ANK,AYT,AnadoluJet,26,08:15,Economy,0,1054
2024-09-22,2024-10-31,Thursday,ESB,ADB,Pegasus,39,00:45,Economy,0,890
2024-05-20,2024-06-17,Monday,AYT,ADB,AnadoluJet,28,20:15,Economy,1,786
2024-12-09,2024-12-21,Saturday,IZM,ESB,SunExpress,12,10:30,Economy,1,978
2024-09-01,2024-10-21,Monday,ESB,ADB,Pegasus,50,12:30,Economy,0,779
2024-09-26,2024-10-30,Wednesday,AYT,ANK,Pegasus,34,23:45,Economy,0,1011
2024-04-06,2024-05-29,Wednesday,ANK,AYT,Turkish Airlines,53,13:45,Economy,0,770
2024-04-17,2024-05-03,Friday,ESB,IZM,Pegasus,16,02:45,Economy,0,1073
2024-06-20,2024-07-24,Wednesday,ADB,ESB,SunExpress,34,11:00,Economy,0,857
